Parameters,Sens,PPV,PocNum_Mean,PocNum_Max
m2.6_M5.0_i30_D2.4,0.769,0.213,3.62,8
m2.8_M5.0_i20_D2.2,0.769,0.208,3.69,8
m2.6_M5.0_i25_D2.0,0.769,0.2,3.85,7
m2.8_M5.0_i20_D2.4,0.769,0.185,4.15,9
m2.6_M5.0_i25_D2.2,0.769,0.182,4.23,9
m2.8_M5.2_i20_D2.0,0.769,0.169,4.54,12
m2.8_M5.2_i20_D2.2,0.769,0.167,4.62,12
m2.6_M5.2_i25_D2.0,0.769,0.159,4.85,9
m2.6_M5.0_i20_D2.0,0.769,0.143,5.38,13
m2.6_M5.2_i20_D2.0,0.769,0.11,7,17
m2.6_M5.0_i30_D1.6,0.75,0.444,2.08,4
m3.0_M5.0_i25_D1.6,0.733,0.688,1.23,3
m3.0_M5.2_i35_D1.6,0.733,0.688,1.23,3
m2.8_M5.0_i30_D1.6,0.733,0.579,1.46,3
m2.8_M5.2_i40_D1.6,0.733,0.579,1.46,3
m3.0_M5.0_i20_D1.6,0.733,0.478,1.77,4
m2.8_M5.0_i25_D1.6,0.733,0.423,2,4
m3.4_M5.6_i40_D2.0,0.714,1,0.769,2
m3.2_M5.6_i40_D1.6,0.714,0.833,0.923,2
m3.2_M5.4_i40_D2.0,0.714,0.714,1.08,3
